0,Entry,head,shouler,arm,hand,body,"hip,leg,foot",bag,cup,earphone,glasses,mobilephone,overcoat,pillow,mouse,keyboard,desktop,desk-drawer,desk-fence,chair-arm,chair-cushion,chair-back,controller,printer,door,window,waterdispenser,tissuedispenser,trashcan,cabinet,printerdesk,printerchair,hanger,leave
waterdispenser,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tissuedispenser,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trashcan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cabinet,0,0,0,0,1,0,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
printerdesk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
printerchair,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
hanger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
5,Entry,head,shouler,arm,hand,body,"hip,leg,foot",bag,cup,earphone,glasses,mobilephone,overcoat,pillow,mouse,keyboard,desktop,desk-drawer,desk-fence,chair-arm,chair-cushion,chair-back,controller,printer,door,window,waterdispenser,tissuedispenser,trashcan,cabinet,printerdesk,printerchair,hanger,leave
Entry,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
head,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shouler,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hand,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
body,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hip,leg,foot",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
bag,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
cup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
earphone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2
glasses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mobilephone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
overcoat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pillow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mouse,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
keyboard,0,1,0,0,0,0,0,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
desktop,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
desk-drawer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
desk-fence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chair-arm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chair-cushion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chair-back,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
controller,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
printer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
door,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
waterdispenser,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tissuedispenser,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trashcan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cabinet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
printerdesk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
printerchair,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hanger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
6,Entry,head,shouler,arm,hand,body,"hip,leg,foot",bag,cup,earphone,glasses,mobilephone,overcoat,pillow,mouse,keyboard,desktop,desk-drawer,desk-fence,chair-arm,chair-cushion,chair-back,controller,printer,door,window,waterdispenser,tissuedispenser,trashcan,cabinet,printerdesk,printerchair,hanger,leave
Entry,0,0,0,0,0,0,0,0,2,0,0,4,0,0,0,0,1,0,0,1,0,4,0,0,1,0,0,0,0,0,0,0,0,1
head,0,6,0,0,1,0,4,0,0,0,0,4,0,0,0,0,66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
shouler,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arm,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hand,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,10,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
body,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
"hip,leg,foot",0,4,0,0,0,1,0,1,0,0,0,11,0,0,0,0,15,1,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2
bag,0,0,0,0,0,0,2,4,0,0,1,1,0,0,1,1,2,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,1
cup,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,4,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
earphone,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
glasses,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mobilephone,0,9,0,0,0,1,11,0,1,0,0,4,0,0,1,2,40,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,7
overcoat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pillow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mouse,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
keyboard,0,0,0,0,0,0,0,1,0,0,0,2,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
desktop,0,61,3,1,11,1,16,4,3,0,4,41,0,0,2,1,7,1,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2
desk-drawer,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
desk-fence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chair-arm,0,1,0,0,0,0,0,0,3,0,0,5,0,0,0,0,5,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
chair-cushion,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chair-back,0,0,0,0,1,0,1,4,0,0,0,3,0,0,0,0,2,0,0,3,0,5,0,0,0,0,0,0,0,0,0,0,0,0
controller,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
printer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
door,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
window,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
waterdispenser,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tissuedispenser,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trashcan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cabinet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
printerdesk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
printerchair,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hanger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
10,Entry,head,shouler,arm,hand,body,"hip,leg,foot",bag,cup,earphone,glasses,mobilephone,overcoat,pillow,mouse,keyboard,desktop,desk-drawer,desk-fence,chair-arm,chair-cushion,chair-back,controller,printer,door,window,waterdispenser,tissuedispenser,trashcan,cabinet,printerdesk,printerchair,hanger,leave
Entry,0,0,0,0,1,0,1,3,0,0,0,4,0,0,0,0,4,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0
head,0,9,0,0,7,1,15,1,0,2,2,23,0,0,0,0,17,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
shouler,0,1,1,0,0,3,0,0,0,0,0,2,0,0,0,0,6,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
arm,0,1,0,1,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hand,0,9,0,1,69,0,9,1,0,0,0,11,0,0,0,0,16,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0
body,0,1,1,0,0,0,3,0,0,0,0,1,0,0,0,0,5,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0
"hip,leg,foot",0,15,1,2,9,4,9,0,0,1,1,12,0,0,0,0,7,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1
bag,0,1,0,0,1,0,0,9,2,2,2,7,0,0,0,0,8,1,1,3,0,1,0,0,0,0,0,0,0,0,0,0,0,3
cup,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
earphone,0,3,0,1,0,0,0,0,0,1,0,7,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
glasses,0,0,1,0,1,0,1,1,0,0,0,8,0,0,0,0,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mobilephone,0,22,4,0,10,1,11,13,0,3,8,4,1,0,0,0,60,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,5
overcoat,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pillow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mouse,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
keyboard,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
desktop,0,13,4,1,19,2,7,9,1,5,3,60,0,0,0,1,20,2,0,4,0,3,0,1,1,0,0,0,0,0,0,0,0,2
desk-drawer,0,1,0,0,0,0,3,1,0,0,0,0,0,0,0,0,0,3,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
desk-fence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
chair-arm,0,3,0,0,2,0,3,3,0,1,0,2,0,0,0,0,1,2,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,3
chair-cushion,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0
chair-back,0,0,0,0,0,1,1,0,0,0,0,3,0,0,0,0,7,0,0,1,0,4,0,0,0,0,0,0,0,0,0,0,0,1
controller,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
printer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0
door,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,1
window,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
waterdispenser,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
tissuedispenser,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trashcan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cabinet,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
printerdesk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
printerchair,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hanger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
11,Entry,head,shouler,arm,hand,body,"hip,leg,foot",bag,cup,earphone,glasses,mobilephone,overcoat,pillow,mouse,keyboard,desktop,desk-drawer,desk-fence,chair-arm,chair-cushion,chair-back,controller,printer,door,window,waterdispenser,tissuedispenser,trashcan,cabinet,printerdesk,printerchair,hanger,leave
Entry,0,0,0,0,1,0,0,0,0,0,0,3,0,0,1,0,3,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
head,0,4,0,0,1,10,9,0,0,1,0,4,0,0,8,2,21,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
shouler,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arm,0,1,0,0,0,1,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hand,0,0,0,0,0,1,4,1,0,1,0,1,0,0,8,0,4,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
body,0,13,0,1,2,13,4,1,0,0,0,5,0,0,3,0,7,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0
"hip,leg,foot",0,8,0,2,1,9,4,0,1,2,0,8,0,0,13,0,36,1,0,1,0,2,0,1,1,0,0,0,0,1,0,0,0,1
bag,0,0,0,0,0,0,0,1,0,3,0,7,0,0,4,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
cup,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,5,1,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
earphone,0,1,0,0,1,0,2,1,0,3,0,0,0,0,13,1,9,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
glasses,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mobilephone,0,2,0,0,0,5,11,4,1,4,0,8,0,0,58,6,29,1,0,4,1,2,0,0,0,0,0,0,0,0,0,0,0,5
overcoat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pillow,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mouse,0,9,2,2,9,1,13,3,6,10,0,65,0,0,15,121,53,5,1,6,0,3,0,1,0,0,0,0,0,0,0,0,0,0
keyboard,0,3,0,0,1,0,1,0,0,1,0,4,0,0,121,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
desktop,0,18,0,0,6,9,31,8,4,6,0,30,0,0,56,4,24,2,0,5,0,0,0,0,0,0,0,0,0,0,1,0,0,1
desk-drawer,0,0,0,0,0,0,0,0,0,1,0,3,0,0,6,0,1,3,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1
desk-fence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chair-arm,0,0,0,0,0,1,5,1,0,1,0,2,0,0,11,0,2,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
chair-cushion,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chair-back,0,2,0,0,0,0,3,0,0,1,0,0,0,0,1,0,2,0,0,3,0,5,0,0,0,0,0,0,0,1,0,0,0,0
controller,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
printer,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
door,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1
window,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
waterdispenser,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
tissuedispenser,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
trashcan,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
cabinet,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
printerdesk,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0
printerchair,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hanger,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
leave,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
12,Entry,head,shouler,arm,hand,body,"hip,leg,foot",bag,cup,earphone,glasses,mobilephone,overcoat,pillow,mouse,keyboard,desktop,desk-drawer,desk-fence,chair-arm,chair-cushion,chair-back,controller,printer,door,window,waterdispenser,tissuedispenser,trashcan,cabinet,printerdesk,printerchair,hanger,leave
Entry,0,3,0,0,0,0,0,0,0,0,2,2,0,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0
head,0,69,0,2,19,7,17,1,2,0,17,22,0,0,39,1,37,0,0,8,0,1,0,0,0,0,0,0,0,0,0,0,0,1
shouler,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
arm,0,0,0,1,2,0,1,1,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hand,0,21,0,0,23,6,5,1,3,0,10,0,0,0,6,0,8,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,0,1
body,0,6,1,0,8,3,8,1,0,1,5,6,0,0,5,0,5,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"hip,leg,foot",0,12,0,2,8,7,16,3,1,0,8,10,0,0,8,0,13,0,0,10,2,1,0,1,0,0,0,0,0,0,0,0,0,0
bag,0,3,0,0,3,1,2,13,3,1,2,5,0,0,3,2,18,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,5
cup,0,0,0,0,1,3,0,2,0,0,1,1,0,0,0,1,4,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0
earphone,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
glasses,0,23,0,0,5,3,9,5,0,1,0,10,0,0,8,3,2,0,0,12,1,0,0,0,0,0,0,0,0,0,0,0,0,1
mobilephone,0,26,0,1,1,7,9,6,0,3,10,8,0,0,59,5,19,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,1
overcoat,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
pillow,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
mouse,0,35,0,1,4,8,10,4,0,1,9,62,0,0,16,71,29,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
keyboard,0,1,0,0,0,0,0,1,1,0,3,2,0,1,77,1,11,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
desktop,0,36,0,2,9,5,13,14,1,1,7,24,0,0,22,10,25,1,0,13,0,1,0,0,0,0,0,0,0,0,0,0,0,2
desk-drawer,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
desk-fence,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
chair-arm,0,8,0,0,13,2,11,11,4,0,7,9,0,0,4,4,8,0,0,8,3,3,0,0,0,0,0,0,0,0,0,0,0,0
chair-cushion,0,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0
